category_id,polularity,item_num,look_through,collection,add_car,buy
13356,33,78,164,7,5,2
11543,3,5,8,0,0,0
11541,22,23,34,0,0,0
11546,3,4,7,0,0,0
11547,1,1,4,0,0,0
11544,8,59,176,6,4,2
11549,85,42,413,4,4,10
5988,331,458,1531,12,60,21
5980,20,22,44,1,4,1
5981,264,551,1487,34,53,14
5986,66,214,751,13,11,7
5987,47,109,335,12,12,5
5984,27,17,78,0,6,2
5985,95,293,745,11,41,19
6796,72,222,722,14,6,4
6797,29,40,92,2,5,2
6794,395,914,3086,20,84,55
6795,699,1264,4337,60,184,76
6792,198,338,2039,31,80,32
6793,99,432,1184,61,50,19
6790,13,9,32,1,0,0
6791,10,13,30,0,0,0
6798,121,154,368,5,26,4
6799,1,1,4,0,0,0
270,46,29,145,2,5,2
271,43,77,278,6,9,3
272,9,18,37,0,0,0
274,6,8,19,0,0,0
276,14,78,182,1,0,0
277,6,8,25,2,2,0
279,234,683,2920,50,23,5
12018,215,179,1061,17,21,1
2146,5,7,16,0,0,0
12015,208,236,956,26,100,61
12014,11,14,45,2,0,0
12011,1,6,17,0,0,0
12012,1,1,3,0,0,0
6347,2,2,4,0,0,0
10709,1,1,4,1,1,1
10708,178,245,1048,15,17,11
9528,5,4,11,0,0,0
9529,69,165,409,10,14,12
9258,233,336,1238,35,72,23
9259,2,15,35,0,2,0
10703,1350,3811,13227,321,374,229
9526,222,251,1356,32,28,9
10700,3,3,8,0,0,1
9520,67,78,237,7,9,2
9253,3,4,7,0,0,0
9251,23,23,53,1,4,3
6346,6,6,16,0,1,0
4644,1,1,3,0,0,0
1212,32,48,134,0,2,0
3513,12,17,41,1,0,0
3517,14,15,29,0,5,3
3515,1,1,1,0,0,0
2688,19,26,64,0,2,0
2684,1,1,8,0,2,0
2685,17,14,64,0,0,0
2686,13,15,22,0,1,3
2687,5,7,18,0,0,0
2681,15,19,52,0,2,2
2683,281,622,2220,14,76,37
1613,8,11,40,4,0,0
98,11,14,40,1,2,1
91,3,4,17,1,0,0
93,63,117,338,4,6,5
94,570,1511,5207,58,115,61
97,15,53,147,1,2,0
96,4,7,20,0,1,1
12007,2,2,3,0,0,0
13058,5,21,34,1,0,0
13050,301,636,2178,37,102,12
13051,24,67,105,0,0,0
13056,56,73,260,10,29,13
13055,50,51,165,4,4,0
1177,1,1,2,0,0,0
1176,1,1,2,0,0,0
1175,6,9,12,0,0,0
1173,308,457,1716,26,141,76
1171,11,23,48,1,1,0
1170,11,14,34,0,2,1
10580,7,8,16,2,0,0
7189,37,69,160,2,7,0
7182,246,334,1757,40,38,24
3432,2,2,7,0,0,0
7187,14,17,34,2,2,1
1227,40,79,192,5,2,5
6261,2,2,3,0,0,0
12833,14,22,64,0,3,2
12832,4,9,34,0,0,1
12831,7,15,25,0,0,0
1224,42,150,486,6,31,17
12837,127,240,858,20,28,20
12836,27,98,233,5,17,6
12835,47,54,206,5,10,2
8017,130,176,462,6,25,7
8016,15,63,166,7,12,3
8015,6,2,18,0,1,0
8546,127,234,732,14,46,20
8541,94,113,473,6,37,7
8011,19,21,33,1,2,0
8010,260,1686,6096,135,421,217
7456,3,3,10,0,0,0
7457,11,27,64,1,1,0
7454,48,70,177,2,2,1
7455,1,1,2,0,0,0
7452,164,377,920,21,69,52
7453,14,26,65,0,0,0
7450,178,368,946,35,46,6
7451,11,9,21,1,2,0
2743,10,11,22,0,1,0
13364,1,1,1,0,0,0
7459,22,27,81,3,1,2
4591,9,15,46,0,3,1
4596,8,10,21,1,2,0
2032,1,1,1,0,0,0
4595,11,17,38,0,1,0
13601,1,1,1,0,0,0
10884,2,4,7,0,0,0
10885,4,4,8,0,0,0
10886,81,165,391,4,8,5
10887,11,18,33,0,1,0
10881,12,10,27,0,0,0
10882,15,27,55,0,6,1
10889,64,77,211,4,11,5
6536,2,2,4,0,0,0
4847,1,1,1,0,0,0
6537,7,8,15,0,2,0
2319,1,2,13,0,2,0
4738,1,1,2,0,0,0
6647,1,1,2,0,0,0
8296,14,30,122,2,7,3
393,1,1,3,0,0,0
392,4,4,6,0,0,0
391,9,7,22,0,0,0
390,65,122,347,7,23,4
397,50,108,353,9,14,7
396,110,39,326,15,8,0
395,3,4,9,0,0,0
394,2,2,5,0,0,0
398,25,20,71,1,2,0
2309,16,23,49,2,5,1
2308,14,20,39,4,1,1
13619,381,404,2474,60,68,25
2301,15,35,70,5,0,0
13615,104,340,1128,33,27,5
2303,4,7,11,0,0,0
2302,221,188,896,18,22,19
4721,904,1421,7650,162,197,109
2304,13,20,47,3,2,1
13612,59,60,160,1,1,1
4722,66,140,610,4,10,14
11289,1,2,4,0,0,0
5845,21,26,94,2,8,2
5844,36,74,262,7,9,4
5842,237,185,776,13,20,6
5840,1,1,2,0,0,0
11281,197,210,1202,27,65,25
11280,2,10,30,0,0,1
11283,1,2,12,0,1,0
11282,40,133,454,7,21,11
11285,2,3,4,1,0,0
11284,2,3,7,0,0,1
5849,2,2,4,0,0,0
11286,1,1,2,0,0,0
3748,11,10,22,1,0,0
3749,6,8,20,1,0,1
3747,198,430,1379,33,106,40
3744,1,1,4,0,1,0
3745,1,1,1,0,0,0
3742,9,15,31,0,0,0
3743,1,1,1,1,0,0
3740,1,1,2,0,0,0
3741,8,10,17,0,0,0
4621,21,21,50,2,0,0
4622,1,1,2,0,0,0
4625,139,1078,4217,56,67,13
4627,159,429,1056,7,33,12
13539,11,18,51,3,0,1
13538,45,58,105,1,0,1
11757,931,2756,10366,158,499,162
11756,657,1046,5174,116,170,74
11754,12,20,59,0,0,1
11750,203,525,1824,24,120,60
2651,3,4,6,0,0,0
12242,2,2,3,0,0,0
13288,499,739,5503,97,170,88
13287,8,8,24,1,0,0
176,92,169,595,13,7,1
175,2,2,3,1,0,0
13284,81,109,289,2,5,2
172,28,35,97,1,11,5
171,22,53,107,1,0,0
13280,602,1400,4963,85,216,46
10469,2,4,9,0,0,0
10392,3689,20418,83883,1905,2480,828
10394,4,11,34,1,0,1
10396,39,111,356,1,3,1
10397,2,2,2,0,0,0
10399,8,12,20,0,1,0
7218,2,2,6,0,0,0
4654,2,4,6,0,0,0
7210,17,72,189,2,7,4
7213,101,154,430,8,18,3
7214,1,1,2,0,0,0
7215,23,67,179,8,5,0
7217,3,3,6,0,0,0
6217,30,33,82,4,6,0
12227,2,4,16,0,2,1
4656,55,104,298,5,8,2
6213,161,253,707,19,42,13
6212,8,11,20,0,2,0
6211,232,277,717,10,49,18
12221,568,1718,7604,190,244,59
13540,13,24,74,1,4,1
12228,28,61,197,7,2,5
12229,54,116,276,2,1,1
6819,31,61,214,3,16,2
6818,27,37,145,5,0,1
6811,40,37,136,3,7,1
6810,13,131,246,2,8,0
6813,35,53,211,1,17,6
6812,3,4,6,0,1,0
6815,2,2,9,0,1,0
6816,1,1,3,0,0,0
9757,94,328,904,20,14,12
9754,5,5,13,1,2,0
9753,449,844,5360,83,109,27
9752,730,2571,9378,147,209,33
9751,5,19,33,0,0,0
9750,35,53,127,3,0,0
10576,224,765,3731,42,77,11
10571,2,22,63,0,1,1
9759,5,5,10,0,0,0
12247,2,4,8,0,0,0
13179,11,41,112,1,11,0
8848,90,210,622,11,36,16
8849,363,728,2141,45,59,25
8840,3,7,18,0,0,0
8841,4,4,6,0,0,0
8843,2,2,4,0,0,0
8845,5,8,34,0,2,0
8846,1,1,2,0,0,0
7669,39,79,240,6,4,3
7668,73,38,252,1,5,3
7660,32,149,447,2,22,8
7663,72,166,385,5,8,1
7665,1,1,4,0,1,0
8918,6,6,17,1,0,0
7667,1,6,9,0,0,0
11842,2,4,6,0,0,0
1769,3,6,10,0,0,0
1762,39,78,191,2,4,8
1760,3,3,5,0,0,0
1761,1,1,3,0,0,0
1766,5,10,23,0,2,1
1767,1,1,4,0,1,1
1765,4,20,54,0,1,0
13309,2,3,5,1,0,0
11119,2,10,31,0,6,1
1547,15,22,36,0,0,0
1544,1,3,5,0,0,0
1545,6,7,13,0,0,0
696,7,6,21,0,0,0
697,121,238,767,9,12,2
695,9,51,70,1,1,0
11111,144,254,945,28,30,14
11110,1,1,2,0,0,0
11112,4,6,9,0,0,0
11115,63,104,392,0,1,0
11114,56,106,377,6,5,16
1548,13,19,67,0,1,0
11116,11,15,31,2,0,0
8710,113,229,607,7,15,3
8711,42,70,193,0,1,0
8713,19,13,47,2,0,0
8715,39,77,219,13,5,2
