user_id,activeness,look_through,collection,add_car,buy
1,67431810,13214,18816,0,0,0
2,51816656,9232,17759,152,298,30
3,50915402,9079,14567,1,310,4
4,32123143,7506,18322,246,23,22
5,129398889,7274,18395,33,148,28
6,35254700,7142,16201,639,248,19
7,88017169,6668,13158,258,4,13
8,1902324,6496,13374,1781,602,127
9,643640,5996,13281,224,22,22
10,89394332,5801,12212,98,3118,126
11,72874770,5619,8853,5,93,17
12,76303096,5595,13260,334,84,80
13,23721294,5560,11409,585,651,113
14,3503734,5197,9722,672,879,95
15,98670387,5151,9371,1446,131,67
16,30706543,4955,9887,41,840,50
17,34263408,4752,9604,631,805,9
18,19904874,4557,10304,112,261,27
19,74743129,4501,13021,300,375,29
20,55377140,4081,9720,28,110,3
21,98707773,4055,7747,143,87,14
22,60473530,4043,9315,85,29,28
23,73098659,4042,9603,797,139,21
24,77452875,4026,7762,127,136,72
25,38244553,4011,6276,344,137,33
26,103969132,3976,9694,1,2394,59
27,38237353,3832,8624,173,6,10
28,28687396,3817,9092,32,387,61
29,37889013,3789,6644,6,182,15
30,134621848,3755,7369,5,372,28
31,2849616,3748,10687,226,9,10
32,123013882,3669,7116,42,59,49
33,19785023,3657,9315,136,106,47
34,77504559,3628,9548,231,71,26
35,9249489,3612,7083,540,205,35
36,131771420,3598,9453,8,485,47
37,126460283,3590,9916,18,765,72
38,62436178,3565,7481,7,120,26
39,68752329,3537,8943,651,15,18
40,56970482,3516,6102,36,353,34
41,80157281,3488,7877,238,10,9
42,97378097,3459,6461,504,73,4
43,97144998,3417,6013,13,707,122
44,120680358,3412,7782,905,333,39
45,116571466,3412,6883,375,17,6
46,28653821,3258,7616,132,21,13
47,74553691,3211,6646,221,382,48
48,103669711,3177,10146,283,129,25
49,43254718,3134,5713,216,24,14
50,86830493,3134,6306,7,208,47
51,18760411,3121,7378,256,91,19
52,5725817,3116,7334,191,155,65
53,79913871,3107,7413,137,180,155
54,101008138,3105,5466,7,6,4
55,7192667,3100,6545,107,1,6
56,6866692,3087,8341,89,492,130
57,7662848,3085,6912,38,304,32
58,32696162,3084,9652,12,200,29
59,48979594,3057,7573,170,181,39
60,23115142,3047,4449,149,193,44
61,76130800,3042,6665,175,593,68
62,84095777,3033,8275,83,154,25
63,8036273,3032,8521,202,403,37
64,21184032,2985,11031,602,529,52
65,22402560,2985,8567,110,285,25
66,22846324,2972,5475,2,288,21
67,126629557,2966,6409,574,271,93
68,76408520,2930,6314,316,751,66
69,17516380,2917,8526,30,496,20
70,115609030,2915,8602,41,452,48
71,111849931,2896,8847,123,339,52
72,25167480,2887,9231,324,278,40
73,137082661,2883,5413,183,12,10
74,86528162,2868,7227,594,170,78
75,939299,2856,6714,846,197,14
76,61168,2828,5547,45,630,157
77,85528205,2826,8447,285,308,143
78,69814478,2824,6416,99,106,28
79,97924986,2813,5074,48,64,71
80,15124235,2808,6503,1,82,21
81,15283261,2806,7629,143,128,31
82,74135971,2767,6577,4,45,3
83,17785839,2749,5637,3,332,49
84,135670856,2724,6276,334,695,293
85,41543626,2722,6938,5,174,10
86,82378875,2721,5182,19,268,38
87,92870574,2718,5299,84,96,6
88,68479212,2690,5306,357,2,0
89,82111488,2683,6191,209,236,43
90,104841708,2678,7077,15,156,40
91,103467877,2659,5404,41,229,31
92,117143145,2651,6117,102,62,9
93,32298483,2648,6362,0,28,19
94,123520556,2638,6869,25,196,2
95,53334106,2625,4762,3,285,68
96,138072562,2612,5867,265,178,51
97,118036942,2611,5950,69,45,5
98,99693145,2607,5095,5,47,7
99,99903128,2604,6608,4,573,56
100,116985016,2603,4677,104,38,10
101,17007439,2595,4928,0,157,0
102,124167000,2586,5854,406,58,5
103,137645631,2580,5350,192,78,18
104,94975301,2577,7125,190,59,20
105,85489311,2576,6889,56,18,19
106,123337404,2567,7027,32,1030,46
107,55585675,2565,7938,130,261,45
108,28518682,2545,5177,61,212,49
109,39083688,2543,5927,0,12,0
110,39640802,2539,6034,7,132,27
111,89831528,2534,6662,162,44,23
112,55963214,2520,6098,85,420,25
113,22393062,2519,5273,5,76,14
114,9603628,2516,5631,138,17,6
115,83435952,2511,5624,161,18,9
116,100945241,2504,6606,23,33,33
117,107879987,2501,6522,1,181,20
118,66166247,2497,6501,212,63,4
119,83602812,2493,6918,43,244,13
120,33277457,2492,5157,403,190,73
121,89862209,2490,6871,96,16,8
122,74261240,2480,5748,85,224,29
123,141565666,2476,6024,19,18,20
124,124761589,2440,6419,2,300,26
125,65068308,2438,6679,190,15,35
126,77099628,2421,6268,134,85,33
127,120736960,2420,6681,63,198,28
128,64604595,2416,4657,68,20,4
129,55773439,2412,6712,136,39,17
130,40907060,2406,5536,105,104,41
131,137531511,2398,6874,16,293,37
132,137050612,2397,6357,2,187,33
133,108430412,2396,6115,60,9,11
134,114222943,2394,5197,59,83,34
135,69723528,2389,9561,121,297,33
136,60365378,2389,5041,247,0,8
